user_id,item_id,User Rating
861,11,3.64
1295,37,3.83
1131,20,2.68
1096,3,3.84
1639,13,3.01
2170,11,3.86
467,27,3.31
1239,16,3.23
331,27,2.67
1483,0,2.39
2136,28,2.93
2920,30,3.74
131,30,2.82
1686,8,4.3
770,37,1.76
2392,26,2.86
1516,35,3.24
2854,1,1.87
2434,8,2.97
1216,29,3.65
956,28,3.07
2325,4,2.63
1185,36,3.14
460,33,2.68
22,22,2.62
2301,2,2.77
748,12,3.58
2905,19,3.73
475,33,4.31
1083,21,3.18
2559,19,3.53
2048,30,3.16
2748,9,3.27
976,23,2.95
1807,19,2.87
190,27,3.02
2735,21,3.3
563,28,3.64
1900,35,2.23
1268,15,1.89
2880,4,3.11
1529,39,3.41
647,13,2.87
2069,4,3.35
2889,26,3.25
2215,36,3.98
1298,14,3.06
2436,29,3.92
601,9,3.86
2364,28,3.27
2062,20,2.99
242,1,2.75
2042,14,3.48
2825,32,4.43
2613,0,2.88
2946,23,2.99
1364,17,3.02
2140,18,1.91
1391,21,1.44
1479,38,3.08
2557,8,1.76
776,32,2.89
35,37,3.06
2254,19,3.95
1956,1,3.97
1586,7,2.96
1022,7,2.99
2614,19,2.99
1130,27,3.48
1501,12,2.33
703,36,2.96
2450,14,3.66
2778,33,3.47
1580,37,4.1
162,36,2.91
202,33,3.2
1982,10,3.39
996,9,3.83
2318,27,3.75
816,18,2.89
456,19,2.25
1276,6,2.46
1017,6,2.5
2344,7,3.41
2768,13,3.75
338,6,3.19
879,25,2.51
1077,38,2.86
792,24,3.57
2265,16,3.47
764,11,4.41
2236,36,3.26
380,18,3.24
493,9,3.11
1181,2,3.32
2063,36,1.71
65,32,2.84
2569,18,2.02
1368,13,2.14
1153,13,4.61
2028,20,4.05
2696,39,1.39
1496,18,2.09
1163,12,2.08
1523,23,2.22
2641,34,1.85
392,35,2.53
1699,12,3.85
419,17,2.67
2337,10,3.49
379,7,3.49
1797,10,2.31
2279,22,3.18
2089,17,3.07
2183,5,2.26
201,19,3.24
1864,31,3.47
780,38,3.63
2978,35,3.77
503,18,3.24
2455,13,3.67
1752,28,2.33
805,25,2.66
2147,0,4.6
2732,5,2.07
1896,2,3.64
2774,7,2.87
1571,0,2.52
961,9,2.16
2661,22,2.53
1486,33,4.44
2691,20,1.57
1029,14,2.28
503,36,3.06
2815,11,3.74
398,16,1.86
871,8,4.45
2843,21,2.91
